	election	cmte_id	purpid	purpose	vendor	category	platform	category_recode	consult	digital	cand_id	cand_office	sup_opp	soc_media	exp_amo	cmte_nm	cmte_dsgn	cmte_tp	party_impute	fec_party	crp_party	party_combined	pacshort	recipcode	industry	name	crpico	recipcode_cand	office	state	cd	cand_support	source	transaction_amt	cand_name	cand_office_st	cand_office_district	cand_ici	cand_status	status_combined	ads_ind	tv	tv2	ads_ind2	ads_opp	ads_opp2	ads	ads2	presyear	commtype	prescomms	preselect	dig_source	dig_type	total	deflator	total12
0	2020.0	C00507368	157840.0	DIGITAL MEDIA	SHAPING DEMOCRACY	digital	0.0	digital		1.0	H2OH03125	H		0.0		BEATTY FOR CONGRESS	P	H		1.0	1.0	1.0	Beatty for Congress	DW	Z1200	Joyce Beatty (D)	I	DW	H	OH	3.0		1.0	5500.0	BEATTY, JOYCE	OH	3.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2020.0	1.0	1.0	0.0055	113.65	0.0048394194
1	2018.0	C00630400	487543.0	REINBURSMENT FOR WEBSITE SOCIAL MEDIA EXPENSES	OUR ATLANTIC CITY	digital	0.0	digital		1.0				0.0		OUR ATLANTIC CITY	U	O			1.0	1.0	Our Atlantic City	OI	J1200								1.0	450.0								0.0	0.0		1.0	1.0	1.0	1.0	0.0	7.0			1.0	1.0	0.00045	110.32	0.00040790427
2	2020.0	C00754671	530302.0	STAFF TIME FOR DIGITAL AD PRODUCTION	UNITED WE DREAM ACTION	digital	0.0	digital		1.0	S8AZ00221	S	S	0.0	15.27	UNITED WE DREAM ACTION PAC	U	O	1.0			1.0	United We Dream Action PAC	OI	J7500	Martha McSally (R)	I	RL	S	AZ			2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	7.0		2020.0	1.0	1.0	1.5270001e-05	113.65	1.3435989e-05
3	2010.0	C00487470	176175.0	EMAIL COSTS FROM ADVANCE LINE	CLUB FOR GROWTH THE	digital	0.0	digital		1.0	S0NV00138	S	S	0.0	591.530029296875	CLUB FOR GROWTH ACTION	U	O	2.0		2.0	2.0	Club for Growth Action	OI	J1100	Sharron Angle (R)	C	RL	S	NV			2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	7.0			1.0	1.0	0.00059153006	96.17	0.0006150879
4	2014.0	C00154625	388003.0	ONLINE CAMPAIGN ADVERTISING	FACEBOOK	digital	1.0	digital		1.0	H2OH09031	H		1.0		KAPTUR FOR CONGRESS	P	H		1.0	1.0	1.0	Kaptur for Congress	DW	Z1200	Marcy Kaptur (D)	I	DW	H	OH	9.0		1.0	107.33999633789062	KAPTUR, MARCY C HON.	OH	9.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			2.0	1.0	0.00010734	103.65	0.00010356006
5	2018.0	C00655837	521464.0	SOCIAL MEDIA	GARDEN CITY	digital	0.0	digital		1.0	H8GA01071	H		0.0		SEIDMAN FOR CONGRESS	P	H		1.0	1.0	1.0	Seidman for Congress	DL	Z1200	Barbara Seidman (D)	C	DL	H	GA	1.0		1.0	40.0	SEIDMAN, BARBARA A	GA	1.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			1.0	1.0	4e-05	110.32	3.6258156e-05
6	2016.0	C00564765	337625.0	MEDIA PLACEMENT DIGITAL ESTIMATE	TWITTER	digital	1.0	digital		1.0	S8IN00049	S	O	1.0	300.0	FREEDOM PARTNERS ACTION FUND, INC.	U	O	2.0		2.0	2.0	Freedom Partners Action Fund	OI	J1100	Evan Bayh (D)	O	DL	S	IN			2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	7.0		2016.0	2.0	1.0	0.0003	105.74	0.0002837148
7	2018.0	C00571703	606109.0	WEB AD	TARGETED VICTORY	digital	0.0	digital		1.0	S8IN00171	S	S	0.0	297.6199951171875	SENATE LEADERSHIP FUND	U	O	2.0		2.0	2.0	Senate Leadership Fund	OI	J1100	Mike Braun (R)	C	RW	S	IN			2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	7.0			1.0	1.0	0.00029762	110.32	0.00026977883
8	2018.0	C00487470	156476.0	DIGITAL AD PRODUCTION COSTS FROM ADVANCE LINE	CLUB FOR GROWTH	digital	0.0	digital		1.0	H8PA13125	H	O	0.0	490.2699890136719	CLUB FOR GROWTH ACTION	U	O	2.0		2.0	2.0	Club for Growth Action	OI	J1100	John Joyce (R)	O	RW	H	PA	13.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	7.0			1.0	1.0	0.00049027	110.32	0.00044440717
9	2020.0	C00709410	156706.0	DIGITAL ADVERTISING	AUTHENTIC CAMPAIGNS	digital	0.0	digital		1.0	S0NC00202	S		0.0		CAL FOR NC	P	S		1.0	1.0	1.0	Cal for North Carolina	DL	Z1200	Cal Cunningham (D)	C	DL	S	NC			1.0	173000.0	CUNNINGHAM, CAL	NC	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	2.0		2020.0	1.0	1.0	0.173	113.65	0.15222172
